File,Number of Arguments
skipped.bril,2
ani_ex_OOO.bril,1
double.bril,1
ani_ex_complex.bril,1
sum_mul.bril,1
simple.bril,1
redundant.bril,1
redundant-dce.bril,1
reassign.bril,1
ani_ex1.bril,1
double-pass.bril,1
ani_same_const_test.bril,1
diamond.bril,2
combo.bril,1
ani_ex_multi.bril,1
reassign-dkp.bril,1
quadratic.bril,68
primes-between.bril,36
birthday.bril,35
orders.bril,58
sum-check.bril,22
palindrome.bril,53
totient.bril,43
relative-primes.bril,66
hanoi.bril,19
is-decreasing.bril,25
check-primes.bril,47
sum-sq-diff.bril,55
fitsinside.bril,20
fact.bril,15
loopfact.bril,18
recfact.bril,21
factors.bril,17
perfect.bril,25
bitshift.bril,72
digital-root.bril,31
up-arrow.bril,21
sum-divisors.bril,36
ackermann.bril,26
pythagorean_triple.bril,23
euclid.bril,43
binary-fmt.bril,17
lcm.bril,26
gcd.bril,16
catalan.bril,22
armstrong.bril,41
pascals-row.bril,29
collatz.bril,17
sum-bits.bril,17
rectangles-area-difference.bril,16
mod_inv.bril,52
reverse.bril,19
fizz-buzz.bril,41
bitwise-ops.bril,61
cholesky.bril,281
mat-inv.bril,165
dead-branch.bril,13
function_call.bril,20
ray-sphere-intersection.bril,123
conjugate-gradient.bril,237
leibniz.bril,20
n_root.bril,33
newton.bril,31
euler.bril,37
riemann.bril,85
mandelbrot.bril,138
norm.bril,86
cordic.bril,178
pow.bril,22
sqrt.bril,36
quickselect.bril,118
sieve.bril,64
bubblesort.bril,73
primitive-root.bril,145
adler32.bril,73
adj2csr.bril,112
csrmv.bril,214
dot-product.bril,64
major-elm.bril,50
max-subarray.bril,74
mat-mul.bril,108
fib.bril,33
vsmul.bril,50
quicksort-hoare.bril,156
quicksort.bril,104
two-sum.bril,102
eight-queens.bril,67
binary-search.bril,75
