benchmark,run,result
skipped,baseline,4
skipped,remove_nops,4
skipped,local_dce,4
skipped,global_dce,4
skipped,lvn,4
ani_ex_OOO,baseline,13
ani_ex_OOO,remove_nops,13
ani_ex_OOO,local_dce,13
ani_ex_OOO,global_dce,13
ani_ex_OOO,lvn,10
double,baseline,6
double,remove_nops,6
double,local_dce,4
double,global_dce,4
double,lvn,6
ani_ex_complex,baseline,13
ani_ex_complex,remove_nops,13
ani_ex_complex,local_dce,13
ani_ex_complex,global_dce,13
ani_ex_complex,lvn,11
sum_mul,baseline,missing
sum_mul,remove_nops,missing
sum_mul,local_dce,missing
sum_mul,global_dce,missing
sum_mul,lvn,missing
simple,baseline,5
simple,remove_nops,5
simple,local_dce,4
simple,global_dce,4
simple,lvn,5
redundant,baseline,6
redundant,remove_nops,6
redundant,local_dce,6
redundant,global_dce,6
redundant,lvn,5
redundant-dce,baseline,6
redundant-dce,remove_nops,6
redundant-dce,local_dce,6
redundant-dce,global_dce,6
redundant-dce,lvn,5
reassign,baseline,3
reassign,remove_nops,3
reassign,local_dce,2
reassign,global_dce,3
reassign,lvn,3
ani_ex1,baseline,6
ani_ex1,remove_nops,6
ani_ex1,local_dce,6
ani_ex1,global_dce,6
ani_ex1,lvn,5
double-pass,baseline,missing
double-pass,remove_nops,missing
double-pass,local_dce,missing
double-pass,global_dce,missing
double-pass,lvn,missing
ani_same_const_test,baseline,9
ani_same_const_test,remove_nops,9
ani_same_const_test,local_dce,8
ani_same_const_test,global_dce,9
ani_same_const_test,lvn,8
diamond,baseline,6
diamond,remove_nops,6
diamond,local_dce,6
diamond,global_dce,6
diamond,lvn,6
combo,baseline,missing
combo,remove_nops,missing
combo,local_dce,missing
combo,global_dce,missing
combo,lvn,missing
ani_ex_multi,baseline,16
ani_ex_multi,remove_nops,16
ani_ex_multi,local_dce,16
ani_ex_multi,global_dce,16
ani_ex_multi,lvn,12
reassign-dkp,baseline,missing
reassign-dkp,remove_nops,missing
reassign-dkp,local_dce,missing
reassign-dkp,global_dce,missing
reassign-dkp,lvn,missing
